Año;Localidades;Proyecto;Categoria;Votos;Presupuesto;Ganador_bin
2022;Carapachay;Señalización de Contramano;Movilidad;269;54000;1
2022;Villa Adelina;Sociedades Unidas de Villa Adelina (SUVA);Social;700;6000000;1
2022;Villa Adelina;Escuela de Educación Técnica N° 1 (Provincial);Educación;501;6000000;1
2022;Villa Adelina;Grupo Scout Ntra. Sra. de la Pureza;Social;342;6000000;1
2022;Villa Adelina;Seguridad en el barrio;Salud;274;4560000;1
2022;Villa Adelina;Escuela Secundaria N° 11 (Provincial);Educación;209;1100000;0
2022;Villa Adelina;Jardín de Infantes Nº 907 (Provincial);Educación;208;1650000;0
2022;Villa Adelina;Asociación Vecinos y Amigos de la Plaza Eduardo Ader (AVAPEA);Espacio Público;182;4000000;1
2022;Villa Adelina;Playón de la Estación Villa Adelina;Deporte;147;6000000;0
2022;Villa Adelina;Rampas en esquinas;Reparaciones/Obra;101;6000000;0
2022;Villa Adelina;Plaza José Ingenieros;Espacio Público;94;6000000;0
2022;Villa Adelina;Club de Leones de Villa Adelina;Deporte;73;4000000;0
2022;Villa Adelina;Plazoleta de 9 de Julio y Paraná;Espacio Público;64;6000000;0
2022;Florida Este;Club Atlético Platense;Deporte;1982;6000000;1
2022;Florida Este;Seguridad en el barrio;Salud;1079;4560000;1
2022;Florida Este;Cruz Roja Argentina Filial Vicente López;Salud;989;5000000;1
2022;Florida Este;Jardín de Infantes Nº 903 (Provincial);Educación;794;3700000;1
2022;Florida Este;Rampas en esquinas;Reparaciones/Obra;672;6000000;1
2022;Florida Este;Escuela Secundaria Nº 4 (Provincial);Educación;659;6000000;0
2022;Florida Este;Club Estrella Federal;Deporte;607;6000000;1
2022;Florida Este;Cestos de basura;Medio Ambiente;605;2000000;1
2022;Florida Este;Reposición de arbolado;Medio Ambiente;603;1500000;1
2022;Florida Este;Escuela Primaria Nº 9 (Provincial);Educación;537;6000000;0
2022;Florida Este;Club Social y Deportivo Caseros;Deporte;482;2000000;1
2022;Florida Este;Asociación Civil Tiempos de Memoria;Cultura;436;6000000;0
2022;Florida Este;Instalación de cruce de semáforos;Movilidad;419;4188000;0
2022;Florida Este;Ctro. de Jubilados Estación Florida Mitre;Social;415;440000;1
2022;Florida Este;Club Villa Pearson;Deporte;404;6000000;0
2022;Florida Este;Ctro. de Jubilados y Pensionados Florida;Social;382;550000;1
2022;Florida Este;Club Defensores de Florida;Deporte;372;6000000;0
2022;Florida Este;Escuela Secundaria Nº 7 (Provincial);Educación;366;6000000;0
2022;Florida Este;Grupo Scout San Patricio;Social;321;3800000;0
2022;Florida Este;Señalización de Contramano;Movilidad;253;54000;1
2022;Florida Este;Escuela Primaria Nº 13 (Provincial);Educación;250;4000000;0
2022;Florida Este;Sociedad de Fomento A. del Valle;Social;206;6000000;0
2022;Florida Este;Plazoleta García Lorca;Espacio Público;174;6000000;0
2022;Florida Este;Asociación Seguir Creciendo;Social;171;2800000;0
2022;La Lucila;Bomberos Voluntarios de Vicente López;Seguridad;874;6000000;1
2022;La Lucila;Seguridad en el barrio;Salud;395;6000000;1
2022;La Lucila;Sociedad de Fomento de La Lucila;Social;298;3600000;1
2022;La Lucila;Escuela Primaria N° 16 (Provincial);Educación;251;580000;1
2022;La Lucila;Grupo Scout Ntra. Sra. de La Paz;Social;201;1500000;1
2022;La Lucila;Rampas en esquinas;Reparaciones/Obra;195;6000000;1
2022;La Lucila;Centro Educativo 'La Escuelita' (Barrio El Ceibo);Educación;185;4800000;0
2022;La Lucila;Espacios recreativos del Barrio El Ceibo;Social;107;6000000;0
2022;Olivos;Seguridad en el barrio;Salud;1759;6000000;1
2022;Olivos;Centro de Jubilados y Pensionados Sarmiento;Social;905;420000;1
2022;Olivos;Escuela Primaria N° 2 (Provincial);Educación;742;6000000;1
2022;Olivos;Escuela Primaria Nº 15 y Escuela de Estética Nº 1;Educación;732;6000000;0
2022;Olivos;Escuela de Educación Especial N° 502;Educación;723;2220000;0
2022;Olivos;Rampas en esquinas;Reparaciones/Obra;667;6000000;1
2022;Olivos;Reposición de arbolado;Medio Ambiente;596;1500000;1
2022;Olivos;Colegio Parroquial Virgen del Carmen;Educación;587;2350000;1
2022;Olivos;Sociedad de Fomento 12 de Octubre;Social;583;6000000;1
2022;Olivos;Cestos de basura;Medio Ambiente;583;2000000;1
2022;Olivos;Club Sarmiento;Deporte;549;6000000;1
2022;Olivos;Asociación CIRES Norte;Salud;499;6000000;0
2022;Olivos;Escuela Primaria y Secundaria N° 1;Educación;418;6000000;0
2022;Olivos;Grupo Scout 140 Hipólito Bouchard;Social;385;1800000;0
2022;Olivos;Jardín de Infantes N° 913 (Provincial);Educación;384;790000;0
2022;Olivos;Club Defensores de Olivos;Deporte;373;6000000;0
2022;Olivos;Centro Histórico de Vicente López (Asociación civil);Social;325;1350000;1
2022;Olivos;Cestos para el Barrio La Loma;Medio Ambiente;311;2400000;0
2022;Olivos;Barrio La Loma más limpio;Espacio Público;285;236000;1
2022;Olivos;Asociación Civil Emprender;Social;272;3270000;0
2022;Olivos;Tránsito seguro en La Loma;Movilidad;266;1328000;0
2022;Olivos;Instalación de cruce de semáforos;Movilidad;247;4188000;0
2022;Olivos;Scouts Navales de Olivos;Social;231;3000000;0
2022;Olivos;Centro Cultural El Faro;Cultura;226;6000000;0
2022;Olivos;Biblioteca Popular Arandú;Cultura;195;93000;1
2022;Olivos;Reductores de velocidad;Movilidad;184;1328000;0
2022;Olivos;Olivos Tenis Club;Deporte;181;6000000;0
2022;Olivos;Demarcación horizontal (sendas peatonales);Movilidad;149;325000;0
2022;Olivos;Club Caosa;Deporte;132;2860000;0
2022;Olivos;Asociación Civil EPEBA;Social;60;6000000;0
2022;Vicente López;Seguridad en el barrio;Salud;1144;6000000;1
2022;Vicente López;Club Vilo;Deporte;878;6000000;1
2022;Vicente López;Árboles en Puente Saavedra;Medio Ambiente;831;1500000;1
2022;Vicente López;Rampas en esquinas;Reparaciones/Obra;706;6000000;1
2022;Vicente López;Preservar el ecosistema;Medio Ambiente;678;6000000;1
2022;Vicente López;Cestos de basura;Medio Ambiente;640;2000000;1
2022;Vicente López;Círculo Trovador;Social;358;6000000;0
2022;Vicente López;Senderos del Sembrador;Otros/Varios;339;6000000;0
2022;Vicente López;Instituto Bignone;Educación;326;6000000;0
2022;Vicente López;Grupo Scout San Gabriel;Social;305;6000000;0
