año;barrio;proyecto;categoria;votos;presupuesto;ganador_bin
2019;FLORIDA OESTE;Talleres de Educación Sexual Integral, Violencia de Género y Reciclaje en escuelas secundarias del barrio.;Educación;448.0;520000.0;0
2019;FLORIDA OESTE;Seguridad del barrio: mejorar el equipamiento de tecnológico.;Seguridad;422.0;3000000.0;0
2019;FLORIDA OESTE;Jardín de Infantes Nº 908: aire acondicionado el SUM, piso de goma y patio de juegos.;Educación;372.0;637000.0;0
2019;FLORIDA OESTE;Las Flores: mi barrio, mi hogar: identificación de viviendas y señalización dentro del barrio.;Espacio Público;349.0;3000000.0;0
2019;FLORIDA OESTE;Florida Club: adaptación del edificio para personas con movilidad reducida.;Deporte;335.0;3000000.0;0
2019;FLORIDA OESTE;Sociedad de Fomento Jose Hernández: nuevo espacio para realizar actividades.;Otros/Varios;300.0;3000000.0;0
2019;FLORIDA OESTE;"Jardín de Infantes ""Las Hormiguitas"" (Barrio Las Flores): construcción de nueva aula y baños.";Educación;286.0;3000000.0;0
2019;FLORIDA OESTE;Escuela Primaria Nº 5: refacción del comedor y de la cocina.;Educación;282.0;3000000.0;0
2019;FLORIDA OESTE;Biblioteca Popular Nora Bombelli: pintura interior y exterior.;Educación;273.0;1590000.0;0
2019;FLORIDA OESTE;"Sociedad de Fomento ""Florida Sud"": construcción de un depósito.";Otros/Varios;264.0;1535000.0;0
2019;FLORIDA OESTE;Jardín Maternal Municipal Nº 8: modernización tecnológica y mobiliario.;Educación;263.0;486000.0;0
